"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Confirms that the returned URL points to the official Dog CEO CDN path.","207","Image URL must contain 'images.dog.ceo/breeds/' in the path","Dog API - Full Test Suite","Tue Mar 24 14:04:45 UTC 2026","passed","Tue Mar 24 14:04:45 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustContainBreedsCdnPath"
"Iterates every URL returned for 'hound' and asserts it matches the CDN regex.","221","All image URLs must match the expected CDN pattern","Dog API - Full Test Suite","Tue Mar 24 14:04:41 UTC 2026","passed","Tue Mar 24 14:04:41 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageUrlsMustMatchCdnPattern"
"Iterates through every breed entry and confirms its sub-breed value is a List, not null.","198","Sub-breeds list values must always be arrays (never null)","Dog API - Full Test Suite","Tue Mar 24 14:04:40 UTC 2026","passed","Tue Mar 24 14:04:40 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","subBreedValuesMustAlwaysBeArrays"
"Makes 5 requests and asserts at least 2 distinct URLs are returned — a basic randomness sanity check.","925","Repeated calls should return images from different breeds (randomness check)","Dog API - Full Test Suite","Tue Mar 24 14:04:46 UTC 2026","passed","Tue Mar 24 14:04:47 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","repeatedCallsShouldReturnVariedImages"
"Security check: all image URLs must be served over HTTPS.","200","Image URLs must use HTTPS scheme","Dog API - Full Test Suite","Tue Mar 24 14:04:41 UTC 2026","passed","Tue Mar 24 14:04:41 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","imageUrlsMustUseHttps"
"Ensures the API-level status flag reports 'error' for an unknown breed.","198","Invalid breed response status field should be 'error'","Dog API - Full Test Suite","Tue Mar 24 14:04:42 UTC 2026","passed","Tue Mar 24 14:04:42 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","invalidBreedStatusFieldShouldBeError"
"Validates that the endpoint is reachable and returns HTTP 200 with JSON content type.","181","GET /breeds/image/random should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:04:47 UTC 2026","passed","Tue Mar 24 14:04:47 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","shouldReturn200"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","188","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:04:43 UTC 2026","passed","Tue Mar 24 14:04:43 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"Confirms the server sends the correct Content-Type header.","185","Response Content-Type header must be application/json","Dog API - Full Test Suite","Tue Mar 24 14:04:44 UTC 2026","passed","Tue Mar 24 14:04:44 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","contentTypeMustBeJson"
"","196","Known breed 'poodle' must be present in the list","Dog API - Full Test Suite","Tue Mar 24 14:04:38 UTC 2026","passed","Tue Mar 24 14:04:38 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","shouldContainPoodleBreed"
"Non-functional: verifies the endpoint responds within an acceptable time threshold.","207","Response time should be under 5 seconds","Dog API - Full Test Suite","Tue Mar 24 14:04:37 UTC 2026","passed","Tue Mar 24 14:04:38 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","responseTimeShouldBeAcceptable"
"Verifies the API returns a proper 404 when an unknown breed slug is requested.","190","Invalid breed should return HTTP 404","Dog API - Full Test Suite","Tue Mar 24 14:04:41 UTC 2026","passed","Tue Mar 24 14:04:42 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","invalidBreedShouldReturn404"
"Verifies that 'message' is a non-blank String (the image URL).","207","Message field must be a non-empty string","Dog API - Full Test Suite","Tue Mar 24 14:04:45 UTC 2026","passed","Tue Mar 24 14:04:46 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","messageMustBeNonEmptyString"
"Parameterised test: verifies HTTP 200 for multiple known breed slugs.","193","GET /breed/{breed}/images should return HTTP 200 for known breeds","Dog API - Full Test Suite","Tue Mar 24 14:04:43 UTC 2026","passed","Tue Mar 24 14:04:43 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","shouldReturn200ForKnownBreed"
"Security check: the image URL must be served over HTTPS.","190","Image URL must use HTTPS scheme","Dog API - Full Test Suite","Tue Mar 24 14:04:45 UTC 2026","passed","Tue Mar 24 14:04:45 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","imageUrlMustUseHttps"
"Asserts that both mandatory top-level fields are present in the response JSON.","202","Response must contain 'message' and 'status' fields","Dog API - Full Test Suite","Tue Mar 24 14:04:47 UTC 2026","passed","Tue Mar 24 14:04:47 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","responseMustHaveMandatoryFields"
"","189","Response time should be under 5 seconds","Dog API - Full Test Suite","Tue Mar 24 14:04:47 UTC 2026","passed","Tue Mar 24 14:04:47 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","responseTimeShouldBeAcceptable"
"","197","Status field must equal 'success'","Dog API - Full Test Suite","Tue Mar 24 14:04:47 UTC 2026","passed","Tue Mar 24 14:04:47 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","statusFieldShouldBeSuccess"
"Validates that /breed/{breed}/{sub-breed}/images works for known sub-breeds.","201","Sub-breed images endpoint should return HTTP 200","Dog API - Full Test Suite","Tue Mar 24 14:04:43 UTC 2026","passed","Tue Mar 24 14:04:43 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","subBreedImagesShouldReturn200"
"Validates that the 'hound' breed lists well-known sub-breeds like 'afghan' and 'blood'.","239","'hound' sub-breeds should include known sub-types","Dog API - Full Test Suite","Tue Mar 24 14:04:37 UTC 2026","passed","Tue Mar 24 14:04:37 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","houndShouldHaveKnownSubBreeds"
"Makes 3 consecutive requests and verifies all return HTTP 200 — basic availability check.","560","Endpoint must be consistently reachable (idempotency check)","Dog API - Full Test Suite","Tue Mar 24 14:04:44 UTC 2026","passed","Tue Mar 24 14:04:45 UTC 2026","com.dogapi.tests.RandomImageTest","Random Image - GET /breeds/image/random","com.dogapi.tests.RandomImageTest","endpointMustBeConsistentlyReachable"
"Confirms that the error response body includes a descriptive message string.","198","Error response for invalid breed must contain a non-empty message","Dog API - Full Test Suite","Tue Mar 24 14:04:41 UTC 2026","passed","Tue Mar 24 14:04:41 UTC 2026","com.dogapi.tests.BreedImagesTest","Breed Images - GET /breed/{breed}/images","com.dogapi.tests.BreedImagesTest","invalidBreedErrorResponseMustContainMessage"
"Verifies that the API-level status flag reports success.","222","Status field must equal 'success'","Dog API - Full Test Suite","Tue Mar 24 14:04:39 UTC 2026","passed","Tue Mar 24 14:04:40 UTC 2026","com.dogapi.tests.BreedsListAllTest","Breeds List All - GET /breeds/list/all","com.dogapi.tests.BreedsListAllTest","statusFieldShouldBeSuccess"
